URN,CTSURN,LatinName,EnglishName
urn:cite:chs:work.tlg0001_tlg001,urn:cts:greekLit:tlg0001.tlg001,Argonautica,Argonautica
urn:cite:chs:work.tlg0002_tlg001,urn:cts:greekLit:tlg0002.tlg001,Elegiae,Elegies
urn:cite:chs:work.tlg0003_tlg001,urn:cts:greekLit:tlg0003.tlg001,Historiae,Histories
urn:cite:chs:work.tlg0004_tlg001,urn:cts:greekLit:tlg0004.tlg001,"Vitae Philosophorum","Lives and Opinions of Eminent Philosophers"
urn:cite:chs:work.tlg0005_tlg001,urn:cts:greekLit:tlg0005.tlg001,Idyllia,Idylls
urn:cite:chs:work.tlg0005_tlg003,urn:cts:greekLit:tlg0005.tlg003,Syrinx,Syrinx
urn:cite:chs:work.tlg0006_tlg035,urn:cts:greekLit:tlg0006.tlg035,Alcestis,Alcestis
urn:cite:chs:work.tlg0006_tlg039,urn:cts:greekLit:tlg0006.tlg039,Andromacha,Andromache
urn:cite:chs:work.tlg0006_tlg034,urn:cts:greekLit:tlg0006.tlg034,Cyclops,Cyclops
urn:cite:chs:work.tlg0006_tlg042,urn:cts:greekLit:tlg0006.tlg042,Electra,Electra
urn:cite:chs:work.tlg0006_tlg023,urn:cts:greekLit:tlg0006.tlg023,"Fragmenta Phaethontis","Fragments of Phaethon"
urn:cite:chs:work.tlg0006_tlg040,urn:cts:greekLit:tlg0006.tlg040,Hecuba,Hecuba
urn:cite:chs:work.tlg0006_tlg047,urn:cts:greekLit:tlg0006.tlg047,Helena,Helen
urn:cite:chs:work.tlg0006_tlg037,urn:cts:greekLit:tlg0006.tlg037,Heraclidae,"The Heraclids"
urn:cite:chs:work.tlg0006_tlg043,urn:cts:greekLit:tlg0006.tlg043,Hercules,Hercules
urn:cite:chs:work.tlg0006_tlg038,urn:cts:greekLit:tlg0006.tlg038,Hippolytus,Hippolytus
urn:cite:chs:work.tlg0006_tlg046,urn:cts:greekLit:tlg0006.tlg046,Ion,Ion
urn:cite:chs:work.tlg0006_tlg051,urn:cts:greekLit:tlg0006.tlg051,"Iphigenia Aulidensis","Iphigenia at Aulis"
urn:cite:chs:work.tlg0006_tlg045,urn:cts:greekLit:tlg0006.tlg045,"Iphigenia Taurica","Iphigenia in Tauris"
urn:cite:chs:work.tlg0006_tlg036,urn:cts:greekLit:tlg0006.tlg036,Medea,Medea
urn:cite:chs:work.tlg0006_tlg049,urn:cts:greekLit:tlg0006.tlg049,Orestes,Orestes
urn:cite:chs:work.tlg0006_tlg048,urn:cts:greekLit:tlg0006.tlg048,Phoenisae,"The Phoenician Women"
urn:cite:chs:work.tlg0006_tlg041,urn:cts:greekLit:tlg0006.tlg041,Supplices,"The Suppliants"
urn:cite:chs:work.tlg0006_tlg044,urn:cts:greekLit:tlg0006.tlg044,Troiades,"The Trojan Women"
urn:cite:chs:work.tlg0007_tlg116,urn:cts:greekLit:tlg0007.tlg116,"Ad Principem Ineruditum (779d- 782f)","To an Uneducated Ruler"
urn:cite:chs:work.tlg0007_tlg140,urn:cts:greekLit:tlg0007.tlg140,"Adversus Colotem (1107d- 1127e)","Against Colotes"
urn:cite:chs:work.tlg0007_tlg019,urn:cts:greekLit:tlg0007.tlg019,"Aemilius Paullus","Aemilius Paulus"
urn:cite:chs:work.tlg0007_tlg125,urn:cts:greekLit:tlg0007.tlg125,"Aetia Physica (911c- 919e)","Physical Questions"
urn:cite:chs:work.tlg0007_tlg084,urn:cts:greekLit:tlg0007.tlg084,"Aetia Romana Et Graeca (263d- 304f)","Greek and Roman Questions"
urn:cite:chs:work.tlg0007_tlg044,urn:cts:greekLit:tlg0007.tlg044,Agesilaus,Agesilaus
urn:cite:chs:work.tlg0007_tlg051,urn:cts:greekLit:tlg0007.tlg051,"Agis Et Cleomenes","Agis and Cleomenes"
