URN,CTSURN,LatinName,EnglishName
urn:cite:chs:textgroup.tlg0001,urn:cts:greekLit:tlg0001:,"Apollonius Rhodius","Apollonius of Rhodes"
urn:cite:chs:textgroup.tlg0002,urn:cts:greekLit:tlg0002:,Theognis,"Theognis of Megara"
urn:cite:chs:textgroup.tlg0003,urn:cts:greekLit:tlg0003:,Thucydides,Thucydides
urn:cite:chs:textgroup.tlg0004,urn:cts:greekLit:tlg0004:,"Diogenes Laertius","Diogenes Laertius"
urn:cite:chs:textgroup.tlg0005,urn:cts:greekLit:tlg0005:,Theocritus,Theocritus
urn:cite:chs:textgroup.tlg0006,urn:cts:greekLit:tlg0006:,Euripides,Euripides
urn:cite:chs:textgroup.tlg0007,urn:cts:greekLit:tlg0007:,Plutarchus,Plutarch
urn:cite:chs:textgroup.tlg0008,urn:cts:greekLit:tlg0008:,Athenaeus,Athenaeus
urn:cite:chs:textgroup.tlg0010,urn:cts:greekLit:tlg0010:,Isocrates,Isocrates
urn:cite:chs:textgroup.tlg0011,urn:cts:greekLit:tlg0011:,Sophocles,Sophocles
urn:cite:chs:textgroup.tlg0012,urn:cts:greekLit:tlg0012:,Homerus,Homer
urn:cite:chs:textgroup.tlg0013,urn:cts:greekLit:tlg0013:,"Hymni Homerici","Homeric Hymns"
urn:cite:chs:textgroup.tlg0014,urn:cts:greekLit:tlg0014:,Demosthenes,Demosthenes
urn:cite:chs:textgroup.tlg0015,urn:cts:greekLit:tlg0015:,Herodianus,Herodian
urn:cite:chs:textgroup.tlg0016,urn:cts:greekLit:tlg0016:,Herodotus,Herodotus
urn:cite:chs:textgroup.tlg0017,urn:cts:greekLit:tlg0017:,Isaeus,Isaeus
urn:cite:chs:textgroup.tlg0018,urn:cts:greekLit:tlg0018:,"Philo Judaeus","Philo"
urn:cite:chs:textgroup.tlg0019,urn:cts:greekLit:tlg0019:,Aristophanes,Aristophanes
urn:cite:chs:textgroup.tlg0020,urn:cts:greekLit:tlg0020:,Hesiodus,Hesiod
urn:cite:chs:textgroup.tlg0022,urn:cts:greekLit:tlg0022:,Nicander,Nicander
